"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 29 15:03:10 GMT 2023","Sat Apr 29 15:03:35 GMT 2023","25122","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Sat Apr 29 15:38:15 GMT 2023","Sat Apr 29 15:38:42 GMT 2023","27365","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Sat Apr 29 15:12:36 GMT 2023","Sat Apr 29 15:13:07 GMT 2023","30379","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Sat Apr 29 14:51:34 GMT 2023","Sat Apr 29 14:52:03 GMT 2023","29640","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Sat Apr 29 15:03:36 GMT 2023","Sat Apr 29 15:04:14 GMT 2023","37029","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Sat Apr 29 15:08:49 GMT 2023","Sat Apr 29 15:09:16 GMT 2023","27376","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Sat Apr 29 15:33:11 GMT 2023","Sat Apr 29 15:34:42 GMT 2023","90606","","Inbox Test Suite","","Inbox Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Sat Apr 29 15:24:23 GMT 2023","Sat Apr 29 15:24:55 GMT 2023","31753","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Sat Apr 29 14:44:26 GMT 2023","Sat Apr 29 14:45:05 GMT 2023","39584","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Sat Apr 29 14:52:34 GMT 2023","Sat Apr 29 14:53:04 GMT 2023","30709","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Sat Apr 29 15:15:06 GMT 2023","Sat Apr 29 15:16:32 GMT 2023","86582","","Inbox Test Suite","","Inbox Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Sat Apr 29 15:39:29 GMT 2023","Sat Apr 29 15:39:52 GMT 2023","23201","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Sat Apr 29 14:53:42 GMT 2023","Sat Apr 29 14:54:28 GMT 2023","45866","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"broken","Sat Apr 29 15:26:23 GMT 2023","Sat Apr 29 15:26:59 GMT 2023","36333","","Inbox Test Suite","","Inbox Test Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Sat Apr 29 15:28:28 GMT 2023","Sat Apr 29 15:29:56 GMT 2023","88413","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Sat Apr 29 15:10:15 GMT 2023","Sat Apr 29 15:10:46 GMT 2023","30784","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Sat Apr 29 14:50:25 GMT 2023","Sat Apr 29 14:51:02 GMT 2023","37076","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Sat Apr 29 15:00:28 GMT 2023","Sat Apr 29 15:00:57 GMT 2023","28244","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Sat Apr 29 14:49:25 GMT 2023","Sat Apr 29 14:49:55 GMT 2023","29632","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Sat Apr 29 15:02:43 GMT 2023","Sat Apr 29 15:03:09 GMT 2023","26390","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Sat Apr 29 15:10:47 GMT 2023","Sat Apr 29 15:11:28 GMT 2023","40281","","Inbox Test Suite","","Inbox Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Sat Apr 29 15:21:26 GMT 2023","Sat Apr 29 15:22:03 GMT 2023","37542","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Sat Apr 29 14:52:04 GMT 2023","Sat Apr 29 14:52:32 GMT 2023","28046","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Sat Apr 29 14:59:13 GMT 2023","Sat Apr 29 15:00:00 GMT 2023","47242","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Sat Apr 29 14:45:07 GMT 2023","Sat Apr 29 14:46:09 GMT 2023","62162","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"broken","Sat Apr 29 14:55:23 GMT 2023","Sat Apr 29 14:56:05 GMT 2023","41387","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Sat Apr 29 15:08:12 GMT 2023","Sat Apr 29 15:08:47 GMT 2023","35232","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Sat Apr 29 14:53:05 GMT 2023","Sat Apr 29 14:53:41 GMT 2023","35403","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Sat Apr 29 15:13:36 GMT 2023","Sat Apr 29 15:15:05 GMT 2023","88240","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Sat Apr 29 14:44:06 GMT 2023","Sat Apr 29 14:44:25 GMT 2023","18281","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sat Apr 29 15:23:29 GMT 2023","Sat Apr 29 15:24:22 GMT 2023","52165","","Inbox Test Suite","","Inbox Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Sat Apr 29 15:05:54 GMT 2023","Sat Apr 29 15:06:24 GMT 2023","29664","","Inbox Test Suite","","Inbox Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Sat Apr 29 15:09:17 GMT 2023","Sat Apr 29 15:09:43 GMT 2023","25700","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Sat Apr 29 14:43:43 GMT 2023","Sat Apr 29 14:44:05 GMT 2023","21870","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Sat Apr 29 14:49:56 GMT 2023","Sat Apr 29 14:50:24 GMT 2023","28114","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Sat Apr 29 15:36:41 GMT 2023","Sat Apr 29 15:38:14 GMT 2023","92386","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Sat Apr 29 14:46:10 GMT 2023","Sat Apr 29 14:46:34 GMT 2023","24028","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Sat Apr 29 15:24:56 GMT 2023","Sat Apr 29 15:26:22 GMT 2023","85894","","Inbox Test Suite","","Inbox Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Sat Apr 29 14:56:06 GMT 2023","Sat Apr 29 14:57:01 GMT 2023","55105","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Sat Apr 29 14:51:03 GMT 2023","Sat Apr 29 14:51:33 GMT 2023","29355","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Sat Apr 29 15:16:34 GMT 2023","Sat Apr 29 15:18:15 GMT 2023","101626","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Sat Apr 29 15:07:43 GMT 2023","Sat Apr 29 15:08:11 GMT 2023","27629","","Inbox Test Suite","","Inbox Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Sat Apr 29 14:48:31 GMT 2023","Sat Apr 29 14:48:57 GMT 2023","26168","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Sat Apr 29 15:31:29 GMT 2023","Sat Apr 29 15:33:10 GMT 2023","101427","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Sat Apr 29 15:07:02 GMT 2023","Sat Apr 29 15:07:42 GMT 2023","39964","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"failed","Sat Apr 29 14:43:30 GMT 2023","Sat Apr 29 14:43:42 GMT 2023","12514","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Sat Apr 29 15:13:08 GMT 2023","Sat Apr 29 15:13:35 GMT 2023","27586","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Sat Apr 29 15:00:58 GMT 2023","Sat Apr 29 15:01:48 GMT 2023","50102","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Sat Apr 29 15:06:25 GMT 2023","Sat Apr 29 15:07:01 GMT 2023","35619","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Sat Apr 29 15:11:29 GMT 2023","Sat Apr 29 15:12:00 GMT 2023","31598","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Sat Apr 29 15:00:01 GMT 2023","Sat Apr 29 15:00:27 GMT 2023","25831","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Sat Apr 29 15:18:16 GMT 2023","Sat Apr 29 15:19:42 GMT 2023","85677","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Sat Apr 29 15:34:43 GMT 2023","Sat Apr 29 15:36:40 GMT 2023","117218","","Inbox Test Suite","","Inbox Test Suite","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"passed","Sat Apr 29 14:47:32 GMT 2023","Sat Apr 29 14:48:00 GMT 2023","28045","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Sat Apr 29 15:19:43 GMT 2023","Sat Apr 29 15:21:24 GMT 2023","101392","","Inbox Test Suite","","Inbox Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Sat Apr 29 15:01:49 GMT 2023","Sat Apr 29 15:02:16 GMT 2023","26654","","Inbox Test Suite","","Inbox Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Sat Apr 29 15:22:04 GMT 2023","Sat Apr 29 15:23:28 GMT 2023","84010","","Inbox Test Suite","","Inbox Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"passed","Sat Apr 29 15:38:43 GMT 2023","Sat Apr 29 15:39:28 GMT 2023","44314","","Inbox Test Suite","","Inbox Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Sat Apr 29 15:29:58 GMT 2023","Sat Apr 29 15:31:27 GMT 2023","89860","","Inbox Test Suite","","Inbox Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Sat Apr 29 15:05:19 GMT 2023","Sat Apr 29 15:05:53 GMT 2023","33932","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"passed","Sat Apr 29 15:09:44 GMT 2023","Sat Apr 29 15:10:14 GMT 2023","30166","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Sat Apr 29 15:02:17 GMT 2023","Sat Apr 29 15:02:42 GMT 2023","24898","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Sat Apr 29 15:04:15 GMT 2023","Sat Apr 29 15:05:18 GMT 2023","63378","","Inbox Test Suite","","Inbox Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"passed","Sat Apr 29 14:54:29 GMT 2023","Sat Apr 29 14:55:22 GMT 2023","53346","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Sat Apr 29 14:46:35 GMT 2023","Sat Apr 29 14:47:02 GMT 2023","26992","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Sat Apr 29 14:58:44 GMT 2023","Sat Apr 29 14:59:12 GMT 2023","27481","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
