"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 25 08:25:10 GMT 2022","Thu Aug 25 08:25:53 GMT 2022","42889","","Login & Left and Right Panel","","Login & Left and Right Panel","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Thu Aug 25 08:15:24 GMT 2022","Thu Aug 25 08:15:48 GMT 2022","23769","","Login & Left and Right Panel","","Login & Left and Right Panel","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Thu Aug 25 08:54:25 GMT 2022","Thu Aug 25 08:55:51 GMT 2022","86277","","Login & Left and Right Panel","","Login & Left and Right Panel","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Thu Aug 25 08:20:44 GMT 2022","Thu Aug 25 08:21:16 GMT 2022","31898","","Login & Left and Right Panel","","Login & Left and Right Panel","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Thu Aug 25 08:14:08 GMT 2022","Thu Aug 25 08:14:30 GMT 2022","22000","","Login & Left and Right Panel","","Login & Left and Right Panel","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Thu Aug 25 08:12:06 GMT 2022","Thu Aug 25 08:12:24 GMT 2022","18420","","Login & Left and Right Panel","","Login & Left and Right Panel","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Thu Aug 25 08:58:45 GMT 2022","Thu Aug 25 09:00:29 GMT 2022","103478","","Login & Left and Right Panel","","Login & Left and Right Panel","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"passed","Thu Aug 25 08:49:16 GMT 2022","Thu Aug 25 08:49:46 GMT 2022","29907","","Login & Left and Right Panel","","Login & Left and Right Panel","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Thu Aug 25 08:18:50 GMT 2022","Thu Aug 25 08:19:18 GMT 2022","27692","","Login & Left and Right Panel","","Login & Left and Right Panel","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Thu Aug 25 08:27:29 GMT 2022","Thu Aug 25 08:27:54 GMT 2022","25067","","Login & Left and Right Panel","","Login & Left and Right Panel","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Thu Aug 25 08:26:20 GMT 2022","Thu Aug 25 08:27:04 GMT 2022","43368","","Login & Left and Right Panel","","Login & Left and Right Panel","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Thu Aug 25 08:36:45 GMT 2022","Thu Aug 25 08:37:16 GMT 2022","30652","","Login & Left and Right Panel","","Login & Left and Right Panel","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Thu Aug 25 08:49:47 GMT 2022","Thu Aug 25 08:51:09 GMT 2022","81686","","Login & Left and Right Panel","","Login & Left and Right Panel","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Thu Aug 25 08:34:52 GMT 2022","Thu Aug 25 08:35:18 GMT 2022","25493","","Login & Left and Right Panel","","Login & Left and Right Panel","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Thu Aug 25 08:11:43 GMT 2022","Thu Aug 25 08:12:05 GMT 2022","21852","","Login & Left and Right Panel","","Login & Left and Right Panel","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Thu Aug 25 08:19:47 GMT 2022","Thu Aug 25 08:20:13 GMT 2022","26156","","Login & Left and Right Panel","","Login & Left and Right Panel","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Thu Aug 25 08:22:00 GMT 2022","Thu Aug 25 08:22:49 GMT 2022","49599","","Login & Left and Right Panel","","Login & Left and Right Panel","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Thu Aug 25 08:30:19 GMT 2022","Thu Aug 25 08:30:55 GMT 2022","36131","","Login & Left and Right Panel","","Login & Left and Right Panel","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Thu Aug 25 09:00:30 GMT 2022","Thu Aug 25 09:01:51 GMT 2022","81321","","Login & Left and Right Panel","","Login & Left and Right Panel","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Thu Aug 25 08:51:37 GMT 2022","Thu Aug 25 08:52:59 GMT 2022","81385","","Login & Left and Right Panel","","Login & Left and Right Panel","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"broken","Thu Aug 25 08:15:49 GMT 2022","Thu Aug 25 08:16:37 GMT 2022","47865","","Login & Left and Right Panel","","Login & Left and Right Panel","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Thu Aug 25 08:25:54 GMT 2022","Thu Aug 25 08:26:19 GMT 2022","25386","","Login & Left and Right Panel","","Login & Left and Right Panel","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Thu Aug 25 08:27:05 GMT 2022","Thu Aug 25 08:27:28 GMT 2022","22990","","Login & Left and Right Panel","","Login & Left and Right Panel","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Thu Aug 25 08:17:59 GMT 2022","Thu Aug 25 08:18:24 GMT 2022","24877","","Login & Left and Right Panel","","Login & Left and Right Panel","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Thu Aug 25 08:46:28 GMT 2022","Thu Aug 25 08:47:01 GMT 2022","32627","","Login & Left and Right Panel","","Login & Left and Right Panel","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Thu Aug 25 09:03:01 GMT 2022","Thu Aug 25 09:03:23 GMT 2022","22627","","Login & Left and Right Panel","","Login & Left and Right Panel","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Thu Aug 25 08:24:18 GMT 2022","Thu Aug 25 08:25:09 GMT 2022","50458","","Login & Left and Right Panel","","Login & Left and Right Panel","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Thu Aug 25 08:17:30 GMT 2022","Thu Aug 25 08:17:58 GMT 2022","28000","","Login & Left and Right Panel","","Login & Left and Right Panel","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Thu Aug 25 09:02:19 GMT 2022","Thu Aug 25 09:03:00 GMT 2022","41049","","Login & Left and Right Panel","","Login & Left and Right Panel","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Thu Aug 25 08:44:51 GMT 2022","Thu Aug 25 08:46:27 GMT 2022","95856","","Login & Left and Right Panel","","Login & Left and Right Panel","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
