"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Mar 05 14:42:19 GMT 2023","Sun Mar 05 14:42:30 GMT 2023","11723","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sun Mar 05 14:41:56 GMT 2023","Sun Mar 05 14:42:18 GMT 2023","21701","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"unknown","Sun Mar 05 14:42:30 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1678027350957","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"unknown","Sun Mar 05 14:42:31 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1678027351002","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"failed","Sun Mar 05 14:41:42 GMT 2023","Sun Mar 05 14:41:55 GMT 2023","12259","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Sun Mar 05 15:09:55 GMT 2023","Sun Mar 05 15:10:32 GMT 2023","37596","","Conversation Search","","Conversation Search","TC543 - To verify search results are displayed even when user puts the app in background and comes back again.","TC543 - To verify search results are displayed even when user puts the app in background and comes back again.",""
"passed","Sun Mar 05 15:02:21 GMT 2023","Sun Mar 05 15:02:50 GMT 2023","29658","","Conversation Search","","Conversation Search","TC527 - To verify search results are based on ""Start with"" search across ""BODY"" and ""SUBJECT"" of the email.","TC527 - To verify search results are based on ""Start with"" search across ""BODY"" and ""SUBJECT"" of the email.",""
"passed","Sun Mar 05 15:22:46 GMT 2023","Sun Mar 05 15:25:48 GMT 2023","181648","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"broken","Sun Mar 05 15:36:00 GMT 2023","Sun Mar 05 15:37:18 GMT 2023","77819","","Permalinks","","Permalinks","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel",""
"broken","Sun Mar 05 15:06:49 GMT 2023","Sun Mar 05 15:07:30 GMT 2023","41037","","Conversation Search","","Conversation Search","TC537 - To verify SM chip name is displayed under ""All mailbox"" tab in search result page.","TC537 - To verify SM chip name is displayed under ""All mailbox"" tab in search result page.",""
"passed","Sun Mar 05 15:15:55 GMT 2023","Sun Mar 05 15:16:25 GMT 2023","30072","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Sun Mar 05 15:34:01 GMT 2023","Sun Mar 05 15:35:27 GMT 2023","86277","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Sun Mar 05 14:49:41 GMT 2023","Sun Mar 05 14:50:14 GMT 2023","33578","","Quoted Text","","Quoted Text","TC567 - To verify click on the ""Reply"" or ""Reply all"" quoted text will automatically be attached","TC567 - To verify click on the ""Reply"" or ""Reply all"" quoted text will automatically be attached",""
"passed","Sun Mar 05 14:51:05 GMT 2023","Sun Mar 05 14:52:24 GMT 2023","78888","","Quoted Text","","Quoted Text","TC572 - To verify the quoted text with new recipient","TC572 - To verify the quoted text with new recipient",""
"broken","Sun Mar 05 15:20:01 GMT 2023","Sun Mar 05 15:20:50 GMT 2023","49337","","Permalinks","","Permalinks","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.",""
"passed","Sun Mar 05 15:27:49 GMT 2023","Sun Mar 05 15:29:22 GMT 2023","93006","","Permalinks","","Permalinks","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"passed","Sun Mar 05 15:25:49 GMT 2023","Sun Mar 05 15:26:31 GMT 2023","42185","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"passed","Sun Mar 05 15:38:36 GMT 2023","Sun Mar 05 15:39:05 GMT 2023","28864","","Forward","","Forward","TC586 -To verify user is able to see ""Forward"" button at the bottom in the conversation list page.","TC586 -To verify user is able to see ""Forward"" button at the bottom in the conversation list page.",""
"broken","Sun Mar 05 15:06:08 GMT 2023","Sun Mar 05 15:06:48 GMT 2023","40309","","Conversation Search","","Conversation Search","TC535 - To verify search result contains chips representing the first name of the ""Assignee""  and ""Status"" of the conversation.","TC535 - To verify search result contains chips representing the first name of the ""Assignee""  and ""Status"" of the conversation.",""
"passed","Sun Mar 05 15:17:58 GMT 2023","Sun Mar 05 15:18:37 GMT 2023","38635","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Sun Mar 05 15:31:29 GMT 2023","Sun Mar 05 15:32:00 GMT 2023","30507","","Permalinks","","Permalinks","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
"passed","Sun Mar 05 15:16:26 GMT 2023","Sun Mar 05 15:17:08 GMT 2023","41966","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"passed","Sun Mar 05 15:11:04 GMT 2023","Sun Mar 05 15:11:42 GMT 2023","37652","","Conversation Search","","Conversation Search","TC545 - To verify if search item updates when assignee/status/read-unread is updated from mobile or web","TC545 - To verify if search item updates when assignee/status/read-unread is updated from mobile or web",""
"passed","Sun Mar 05 15:01:25 GMT 2023","Sun Mar 05 15:01:51 GMT 2023","26767","","Conversation Search","","Conversation Search","TC526 - To verify if user clicks on the ""Close"" icon in search field, the keyboard should not dismiss.","TC526 - To verify if user clicks on the ""Close"" icon in search field, the keyboard should not dismiss.",""
"passed","Sun Mar 05 15:15:23 GMT 2023","Sun Mar 05 15:15:54 GMT 2023","31544","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"passed","Sun Mar 05 15:41:26 GMT 2023","Sun Mar 05 15:42:07 GMT 2023","41888","","Forward","","Forward","TC593 - To verify if mail is forwarded to wrong/invalid recipients, proper error message is thrown.","TC593 - To verify if mail is forwarded to wrong/invalid recipients, proper error message is thrown.",""
"passed","Sun Mar 05 15:22:14 GMT 2023","Sun Mar 05 15:22:45 GMT 2023","31488","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"broken","Sun Mar 05 15:04:44 GMT 2023","Sun Mar 05 15:05:25 GMT 2023","40625","","Conversation Search","","Conversation Search","TC532 - To verify that name of the originator of the conversation is displayed in the search results.","TC532 - To verify that name of the originator of the conversation is displayed in the search results.",""
"broken","Sun Mar 05 14:59:12 GMT 2023","Sun Mar 05 15:00:02 GMT 2023","50384","","Quoted Text","","Quoted Text","TC585 - To verify the cursor when attachments added to the compose screen","TC585 - To verify the cursor when attachments added to the compose screen",""
"passed","Sun Mar 05 14:52:25 GMT 2023","Sun Mar 05 14:53:32 GMT 2023","67228","","Quoted Text","","Quoted Text","TC573 - To verify the removed quoted text in the Gmail conversation","TC573 - To verify the removed quoted text in the Gmail conversation",""
"passed","Sun Mar 05 15:01:52 GMT 2023","Sun Mar 05 15:02:20 GMT 2023","27154","","Conversation Search","","Conversation Search","TC525 - To verify whether ""Cancel""  button in the search page takes user back to home page of the app or not.","TC525 - To verify whether ""Cancel""  button in the search page takes user back to home page of the app or not.",""
"passed","Sun Mar 05 15:32:35 GMT 2023","Sun Mar 05 15:34:00 GMT 2023","84700","","Permalinks","","Permalinks","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"broken","Sun Mar 05 15:04:02 GMT 2023","Sun Mar 05 15:04:43 GMT 2023","41183","","Conversation Search","","Conversation Search","TC531 - To verify that the search results are displayed according to the recent email activity done for conversations.","TC531 - To verify that the search results are displayed according to the recent email activity done for conversations.",""
"passed","Sun Mar 05 14:57:10 GMT 2023","Sun Mar 05 14:57:45 GMT 2023","34785","","Quoted Text","","Quoted Text","TC582 - To check the quoted text is removed in both sender and receiver side","TC582 - To check the quoted text is removed in both sender and receiver side",""
"passed","Sun Mar 05 15:39:06 GMT 2023","Sun Mar 05 15:40:23 GMT 2023","77147","","Forward","","Forward","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"broken","Sun Mar 05 14:58:20 GMT 2023","Sun Mar 05 14:59:10 GMT 2023","50644","","Quoted Text","","Quoted Text","TC584 - To check the quoted text should not be the part of Shared Draft","TC584 - To check the quoted text should not be the part of Shared Draft",""
"passed","Sun Mar 05 15:08:57 GMT 2023","Sun Mar 05 15:09:25 GMT 2023","27774","","Conversation Search","","Conversation Search","TC540 - To verify ""No internet"" hello bar is being displayed in search screen if there is not internet.","TC540 - To verify ""No internet"" hello bar is being displayed in search screen if there is not internet.",""
"passed","Sun Mar 05 15:30:01 GMT 2023","Sun Mar 05 15:31:28 GMT 2023","87255","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"passed","Sun Mar 05 15:17:09 GMT 2023","Sun Mar 05 15:17:57 GMT 2023","47422","","Permalinks","","Permalinks","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.",""
"passed","Sun Mar 05 15:20:51 GMT 2023","Sun Mar 05 15:21:23 GMT 2023","31701","","Permalinks","","Permalinks","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.",""
"passed","Sun Mar 05 15:00:27 GMT 2023","Sun Mar 05 15:00:51 GMT 2023","24414","","Conversation Search","","Conversation Search","TC523 - To verify user is taken to separate ""Search"" page when he clicks on the ""Search"" icon.","TC523 - To verify user is taken to separate ""Search"" page when he clicks on the ""Search"" icon.",""
"passed","Sun Mar 05 15:09:26 GMT 2023","Sun Mar 05 15:09:54 GMT 2023","27491","","Conversation Search","","Conversation Search","TC541 - To verify empty screen along with proper error message is being displayed when user searches using invalid keywords.","TC541 - To verify empty screen along with proper error message is being displayed when user searches using invalid keywords.",""
"broken","Sun Mar 05 15:21:24 GMT 2023","Sun Mar 05 15:22:13 GMT 2023","48766","","Permalinks","","Permalinks","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.",""
"passed","Sun Mar 05 15:14:51 GMT 2023","Sun Mar 05 15:15:22 GMT 2023","30783","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
"passed","Sun Mar 05 14:47:47 GMT 2023","Sun Mar 05 14:48:23 GMT 2023","36783","","Quoted Text","","Quoted Text","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.",""
"passed","Sun Mar 05 14:57:46 GMT 2023","Sun Mar 05 14:58:19 GMT 2023","33077","","Quoted Text","","Quoted Text","TC583 - To verify the date format and email address in the quoted text","TC583 - To verify the date format and email address in the quoted text",""
"passed","Sun Mar 05 15:29:23 GMT 2023","Sun Mar 05 15:30:00 GMT 2023","36756","","Permalinks","","Permalinks","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.",""
"passed","Sun Mar 05 14:54:47 GMT 2023","Sun Mar 05 14:55:16 GMT 2023","29060","","Quoted Text","","Quoted Text","TC577 - To verify the quoted text with no internet","TC577 - To verify the quoted text with no internet",""
