"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 06 15:24:48 GMT 2023","Sat May 06 15:26:12 GMT 2023","84053","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Sat May 06 14:44:22 GMT 2023","Sat May 06 14:44:46 GMT 2023","23917","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Sat May 06 14:58:11 GMT 2023","Sat May 06 14:58:38 GMT 2023","27365","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Sat May 06 15:20:08 GMT 2023","Sat May 06 15:20:59 GMT 2023","50386","","Inbox Test Suite","","Inbox Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Sat May 06 14:59:54 GMT 2023","Sat May 06 15:00:18 GMT 2023","24137","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Sat May 06 14:56:59 GMT 2023","Sat May 06 14:57:44 GMT 2023","45126","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Sat May 06 15:04:24 GMT 2023","Sat May 06 15:05:03 GMT 2023","39014","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Sat May 06 15:12:03 GMT 2023","Sat May 06 15:13:25 GMT 2023","82116","","Inbox Test Suite","","Inbox Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Sat May 06 14:47:05 GMT 2023","Sat May 06 14:47:30 GMT 2023","25490","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Sat May 06 15:33:59 GMT 2023","Sat May 06 15:34:25 GMT 2023","25864","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Sat May 06 15:18:08 GMT 2023","Sat May 06 15:18:43 GMT 2023","35074","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Sat May 06 15:05:33 GMT 2023","Sat May 06 15:06:17 GMT 2023","44088","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Sat May 06 15:21:00 GMT 2023","Sat May 06 15:21:30 GMT 2023","30524","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Sat May 06 14:42:18 GMT 2023","Sat May 06 14:42:36 GMT 2023","18369","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sat May 06 15:07:12 GMT 2023","Sat May 06 15:07:42 GMT 2023","29903","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Sat May 06 15:00:46 GMT 2023","Sat May 06 15:01:10 GMT 2023","24214","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Sat May 06 14:45:14 GMT 2023","Sat May 06 14:45:41 GMT 2023","27111","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Sat May 06 15:18:44 GMT 2023","Sat May 06 15:20:07 GMT 2023","83079","","Inbox Test Suite","","Inbox Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"passed","Sat May 06 15:15:07 GMT 2023","Sat May 06 15:16:27 GMT 2023","80099","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Sat May 06 15:00:19 GMT 2023","Sat May 06 15:00:45 GMT 2023","25197","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Sat May 06 14:48:57 GMT 2023","Sat May 06 14:49:25 GMT 2023","28845","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Sat May 06 15:09:49 GMT 2023","Sat May 06 15:10:16 GMT 2023","27349","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Sat May 06 15:09:16 GMT 2023","Sat May 06 15:09:48 GMT 2023","31577","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Sat May 06 15:07:43 GMT 2023","Sat May 06 15:08:13 GMT 2023","29434","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Sat May 06 15:27:39 GMT 2023","Sat May 06 15:29:07 GMT 2023","87458","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Sat May 06 14:53:50 GMT 2023","Sat May 06 14:54:47 GMT 2023","56788","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Sat May 06 15:34:26 GMT 2023","Sat May 06 15:35:09 GMT 2023","42556","","Inbox Test Suite","","Inbox Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Sat May 06 14:46:08 GMT 2023","Sat May 06 14:46:36 GMT 2023","28128","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Sat May 06 15:13:26 GMT 2023","Sat May 06 15:15:06 GMT 2023","99764","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Sat May 06 14:57:45 GMT 2023","Sat May 06 14:58:10 GMT 2023","24253","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
